scope,package,version,license
"backend","side-channel-weakmap","1.0.2","MIT"
"backend","simple-swizzle","0.2.2","MIT"
"backend","simple-update-notifier","2.0.0","MIT"
"backend","spawn-command","0.0.2","UNKNOWN"
"backend","split2","4.2.0","ISC"
"backend","ssf","0.11.2","Apache-2.0"
"backend","statuses","2.0.1","MIT"
"backend","streamsearch","1.1.0","UNKNOWN"
"backend","string_decoder","1.1.1","MIT"
"backend","string_decoder/node_modules/safe-buffer","5.1.2","MIT"
"backend","string-width","4.2.3","MIT"
"backend","strip-ansi","6.0.1","MIT"
"backend","supports-color","8.1.1","MIT"
"backend","tar-stream","2.2.0","MIT"
"backend","tar-stream/node_modules/readable-stream","3.6.2","MIT"
"backend","tmp","0.2.5","MIT"
"backend","to-regex-range","5.0.1","MIT"
"backend","toidentifier","1.0.1","MIT"
"backend","touch","3.1.1","ISC"
"backend","traverse","0.3.9","MIT/X11"
"backend","tree-kill","1.2.2","MIT"
"backend","tslib","2.8.1","0BSD"
"backend","type-is","1.6.18","MIT"
"backend","typedarray","0.0.6","MIT"
"backend","undefsafe","2.0.5","MIT"
"backend","unpipe","1.0.0","MIT"
"backend","unzipper","0.10.14","MIT"
"backend","util-deprecate","1.0.2","MIT"
"backend","utils-merge","1.0.1","MIT"
"backend","uuid","11.1.0","MIT"
"backend","vary","1.1.2","MIT"
"backend","wmf","1.0.2","Apache-2.0"
"backend","word","0.3.0","Apache-2.0"
"backend","wrap-ansi","7.0.0","MIT"
"backend","wrappy","1.0.2","ISC"
"backend","xlsx","0.18.5","Apache-2.0"
"backend","xml2js","0.2.4","UNKNOWN"
"backend","xmlbuilder","0.4.2","UNKNOWN"
"backend","xmlchars","2.2.0","MIT"
"backend","xtend","4.0.2","MIT"
"backend","y18n","5.0.8","ISC"
"backend","yargs","17.7.2","MIT"
"backend","yargs-parser","21.1.1","ISC"
"backend","zip-stream","4.1.1","MIT"
"backend","zip-stream/node_modules/archiver-utils","3.0.4","MIT"
"backend","zip-stream/node_modules/readable-stream","3.6.2","MIT"
"frontend","@adobe/css-tools","4.4.3","MIT"
"frontend","@alloc/quick-lru","5.2.0","MIT"
"frontend","@ampproject/remapping","2.3.0","Apache-2.0"
"frontend","@babel/code-frame","7.27.1","MIT"
"frontend","@babel/compat-data","7.28.0","MIT"
"frontend","@babel/core","7.28.0","MIT"
"frontend","@babel/core/node_modules/semver","6.3.1","ISC"
"frontend","@babel/eslint-parser","7.28.0","MIT"
"frontend","@babel/eslint-parser/node_modules/eslint-visitor-keys","2.1.0","Apache-2.0"
"frontend","@babel/eslint-parser/node_modules/semver","6.3.1","ISC"
"frontend","@babel/generator","7.28.0","MIT"
"frontend","@babel/helper-annotate-as-pure","7.27.3","MIT"
"frontend","@babel/helper-compilation-targets","7.27.2","MIT"
"frontend","@babel/helper-compilation-targets/node_modules/semver","6.3.1","ISC"
"frontend","@babel/helper-create-class-features-plugin","7.27.1","MIT"
"frontend","@babel/helper-create-class-features-plugin/node_modules/semver","6.3.1","ISC"
"frontend","@babel/helper-create-regexp-features-plugin","7.27.1","MIT"
"frontend","@babel/helper-create-regexp-features-plugin/node_modules/semver","6.3.1","ISC"
"frontend","@babel/helper-define-polyfill-provider","0.6.5","MIT"
"frontend","@babel/helper-globals","7.28.0","MIT"
"frontend","@babel/helper-member-expression-to-functions","7.27.1","MIT"
"frontend","@babel/helper-module-imports","7.27.1","MIT"
"frontend","@babel/helper-module-transforms","7.27.3","MIT"
"frontend","@babel/helper-optimise-call-expression","7.27.1","MIT"
"frontend","@babel/helper-plugin-utils","7.27.1","MIT"
"frontend","@babel/helper-remap-async-to-generator","7.27.1","MIT"
"frontend","@babel/helper-replace-supers","7.27.1","MIT"
"frontend","@babel/helper-skip-transparent-expression-wrappers","7.27.1","MIT"
"frontend","@babel/helper-string-parser","7.27.1","MIT"
"frontend","@babel/helper-validator-identifier","7.27.1","MIT"
"frontend","@babel/helper-validator-option","7.27.1","MIT"
"frontend","@babel/helper-wrap-function","7.27.1","MIT"
"frontend","@babel/helpers","7.27.6","MIT"
"frontend","@babel/parser","7.28.0","MIT"
"frontend","@babel/plugin-bugfix-firefox-class-in-computed-class-key","7.27.1","MIT"
"frontend","@babel/plugin-bugfix-safari-class-field-initializer-scope","7.27.1","MIT"
"frontend","@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression","7.27.1","MIT"
"frontend","@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining","7.27.1","MIT"
"frontend","@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly","7.27.1","MIT"
"frontend","@babel/plugin-proposal-class-properties","7.18.6","MIT"
"frontend","@babel/plugin-proposal-decorators","7.28.0","MIT"
"frontend","@babel/plugin-proposal-nullish-coalescing-operator","7.18.6","MIT"
"frontend","@babel/plugin-proposal-numeric-separator","7.18.6","MIT"
"frontend","@babel/plugin-proposal-optional-chaining","7.21.0","MIT"
"frontend","@babel/plugin-proposal-private-methods","7.18.6","MIT"
"frontend","@babel/plugin-proposal-private-property-in-object","7.21.0-placeholder-for-preset-env.2","MIT"
"frontend","@babel/plugin-syntax-async-generators","7.8.4","MIT"
"frontend","@babel/plugin-syntax-bigint","7.8.3","MIT"
"frontend","@babel/plugin-syntax-class-properties","7.12.13","MIT"
"frontend","@babel/plugin-syntax-class-static-block","7.14.5","MIT"
"frontend","@babel/plugin-syntax-decorators","7.27.1","MIT"
"frontend","@babel/plugin-syntax-flow","7.27.1","MIT"
"frontend","@babel/plugin-syntax-import-assertions","7.27.1","MIT"
"frontend","@babel/plugin-syntax-import-attributes","7.27.1","MIT"
"frontend","@babel/plugin-syntax-import-meta","7.10.4","MIT"
"frontend","@babel/plugin-syntax-json-strings","7.8.3","MIT"
"frontend","@babel/plugin-syntax-jsx","7.27.1","MIT"
"frontend","@babel/plugin-syntax-logical-assignment-operators","7.10.4","MIT"
"frontend","@babel/plugin-syntax-nullish-coalescing-operator","7.8.3","MIT"
"frontend","@babel/plugin-syntax-numeric-separator","7.10.4","MIT"
"frontend","@babel/plugin-syntax-object-rest-spread","7.8.3","MIT"
"frontend","@babel/plugin-syntax-optional-catch-binding","7.8.3","MIT"
"frontend","@babel/plugin-syntax-optional-chaining","7.8.3","MIT"
"frontend","@babel/plugin-syntax-private-property-in-object","7.14.5","MIT"
"frontend","@babel/plugin-syntax-top-level-await","7.14.5","MIT"
"frontend","@babel/plugin-syntax-typescript","7.27.1","MIT"
"frontend","@babel/plugin-syntax-unicode-sets-regex","7.18.6","MIT"
"frontend","@babel/plugin-transform-arrow-functions","7.27.1","MIT"
"frontend","@babel/plugin-transform-async-generator-functions","7.28.0","MIT"
"frontend","@babel/plugin-transform-async-to-generator","7.27.1","MIT"
"frontend","@babel/plugin-transform-block-scoped-functions","7.27.1","MIT"
